Timestamp,Container,CPU%,MemUsage(MB),MemLimit(MB),Mem%
2026-02-22T14:37:47.635Z,bank-api-db,89.17,226.00,6144.00,3.68
2026-02-22T14:37:48.719Z,api-bank-app-2,93.27,77.67,1024.00,7.58
2026-02-22T14:37:48.719Z,api-bank-app-1,100.39,78.49,1024.00,7.67
2026-02-22T14:37:48.719Z,bank-api-pgbouncer,24.74,1.92,512.00,0.38
2026-02-22T14:37:48.719Z,bank-api-db,85.7,225.40,6144.00,3.67
2026-02-22T14:37:49.646Z,api-bank-app-2,96.42,77.70,1024.00,7.59
2026-02-22T14:37:49.646Z,api-bank-app-1,78.22,78.29,1024.00,7.65
2026-02-22T14:37:49.646Z,bank-api-pgbouncer,23,1.92,512.00,0.37
2026-02-22T14:37:49.646Z,bank-api-db,81.3,225.80,6144.00,3.67
2026-02-22T14:37:50.706Z,api-bank-app-2,90.93,77.66,1024.00,7.58
2026-02-22T14:37:50.706Z,api-bank-app-1,84.93,78.63,1024.00,7.68
2026-02-22T14:37:50.706Z,bank-api-pgbouncer,23.05,1.91,512.00,0.37
2026-02-22T14:37:50.706Z,bank-api-db,81.61,225.40,6144.00,3.67
2026-02-22T14:37:51.701Z,api-bank-app-2,75.44,77.71,1024.00,7.59
2026-02-22T14:37:51.701Z,api-bank-app-1,98.93,78.53,1024.00,7.67
2026-02-22T14:37:51.701Z,bank-api-pgbouncer,21.95,1.91,512.00,0.37
2026-02-22T14:37:51.701Z,bank-api-db,79.53,225.60,6144.00,3.67
2026-02-22T14:37:52.724Z,api-bank-app-2,97.32,78.55,1024.00,7.67
2026-02-22T14:37:52.724Z,api-bank-app-1,77.1,78.55,1024.00,7.67
2026-02-22T14:37:52.724Z,bank-api-pgbouncer,20.82,1.91,512.00,0.37
2026-02-22T14:37:52.724Z,bank-api-db,77.24,225.90,6144.00,3.68
2026-02-22T14:37:53.738Z,api-bank-app-2,94.38,77.89,1024.00,7.61
2026-02-22T14:37:53.738Z,api-bank-app-1,91.89,78.59,1024.00,7.67
2026-02-22T14:37:53.738Z,bank-api-pgbouncer,22.59,1.92,512.00,0.38
2026-02-22T14:37:53.738Z,bank-api-db,86.93,226.70,6144.00,3.69
2026-02-22T14:37:54.792Z,api-bank-app-2,87.59,77.77,1024.00,7.59
2026-02-22T14:37:54.792Z,api-bank-app-1,86.95,78.53,1024.00,7.67
